antoine_brutus_menier	religion	roman_catholic_church
richard_morris_hunt	location	new_york
william_critchlow_harris	nationality	canada
pieter_snayers	place_of_death	brussels
elisabeth_of_wied	spouse	carol_i_of_romania
peter_lorre	nationality	united_states
adrianus_petit_coclico	gender	male
prince_wilhelm_of_prussia	children	marie_of_prussia
david_lewis_1901	gender	male
foster_brooks	profession	actor
coleman_young	gender	male
constantine_goulimis	gender	male
mamie_eisenhower	location	iowa
a_e_matthews	nationality	united_kingdom
charles_w_brooks	nationality	united_states
anatoly_marienhof	profession	novelist
samuil_shatunovsky	gender	male
haskell_curry	nationality	united_states
hermann_samuel_reimarus	place_of_birth	hamburg
maria_amalia_of_the_two_sicilies	children	princess_marie_of_orleans
ken_kearney	cause_of_death	myocardial_infarction
kanwar_bahadur_singh	institution	royal_military_academy_sandhurst
milward_l_simpson	profession	attorney_at_law
frank_bancroft	gender	male
lana_morris	gender	female
radha_binod_pal	religion	hinduism
betje_wolff	place_of_death	the_hague
julia_randall	institution	harvard_university
crown_prince_wilhelm_of_germany	parents	william_ii_german_emperor
august_schleicher	place_of_death	jena
basil_zaharoff	location	mugla
antonin_artaud	profession	theatre_direction
charles_calvert_5th_baron_baltimore	religion	protestantism
anthony_santasiere	place_of_death	hollywood_florida
jean_charles_galissard_de_marignac	place_of_birth	geneva
louise_bourgeois	place_of_death	new_york
charles_henry_mackintosh	gender	male
lester_c_hunt	nationality	united_states
pietro_bembo	place_of_birth	venice
jacques_noel_sane	profession	naval_architect
anne_jean_marie_rene_savary	nationality	france
eppa_rixey	place_of_death	cincinnati_ohio
otto_wachter	nationality	austria
friedrich_weinbrenner	nationality	germany
harry_j_collins	place_of_birth	chicago
frank_shannon	place_of_death	hollywood
goran_wahlenberg	nationality	sweden
david_raksin	place_of_birth	philadelphia
george_pavlopoulos	gender	male
ernest_fox_nichols	institution	kansas_state_university
james_dickey	location	atlanta
frances_bergen	nationality	united_states
otto_strandman	gender	male
j_ernest_mangnall	nationality	england
joshua_slocum	nationality	canada
slim_sallee	gender	male
pauline_frederick	place_of_death	beverly_hills
wilhelm_hofmeister	gender	male
babe_london	gender	female
alfie_bass	place_of_birth	bethnal_green
aurelio_lopez	gender	male
pierre_rameau	place_of_death	nanterre
anton_cermak	place_of_death	miami
fernando_leon_y_castillo	nationality	spain
josef_de_mendoza_y_rios	nationality	spain
stefano_maderno	place_of_birth	palestrina
carlos_franqui	place_of_birth	cuba
meyer_levin	nationality	united_states
hank_williams_sr	location	montgomery
joceline_percy_11th_earl_of_northumberland	nationality	kingdom_of_england
james_j_braddock	profession	professional_boxer
robert_sobel	profession	historian
nathaniel_bowditch	place_of_death	boston_massachusetts
frederick_steiwer	nationality	united_states
fikret_amirov	place_of_birth	ganja
alan_isler	profession	novelist
william_carnegie_7th_earl_of_northesk	gender	male
w_b_emery	gender	male
stafford_cripps	institution	university_college_london
edwin_sydney_stuart	place_of_birth	philadelphia
maria_anna_of_bavaria	gender	female
aldous_huxley	gender	male
francis_cadell	place_of_death	edinburgh
george_a_converse	location	vermont
arthur_raikes	profession	officer
gerald_gardner	religion	wicca
sidney_kingsley	institution	cornell_university
frederick_william_owen_potts	place_of_birth	reading
yuri_artyukhin	profession	aviator
richard_bassett	place_of_death	cecil_county
alexander_kovalevsky	nationality	russia
marcus_morton	place_of_death	taunton_massachusetts
snitz_edwards	place_of_birth	budapest
jeremiah_morrow	location	gettysburg
birger_brosa	gender	male
william_aiken	profession	politician
dmitri_donskoi	parents	ivan_ii_of_russia
edgar_vincent_1st_viscount_dabernon	gender	male
lee_wiley	place_of_death	new_york
jiverly_wong	gender	male
kristian_fredrikson	cause_of_death	emphysema
gerberga_of_lower_lorraine	parents	charles_duke_of_lower_lorraine
henry_moore_teller	nationality	united_states
jean_delannoy	profession	film_director
edmund_beecher_wilson	nationality	united_states
john_pendleton_king	location	augusta
patrick_william_riordan	religion	roman_catholic_church
stephen_cave	place_of_death	chambery
fernando_fernandez_1940	place_of_death	barcelona
gene_roddenberry	profession	actor
charles_fabry	place_of_death	paris
henrik_takkenberg	profession	singer
samuel_david_dealey	place_of_birth	dallas
michael_ramsey	gender	male
jacob_van_schuppen	place_of_birth	fontainebleau
alfred_terry	gender	male
james_h_wilkinson	gender	male
dorothy_walker_bush	nationality	united_states
ina_balin	profession	actor
claude_joseph_vernet	place_of_death	paris
joseph_anthony_ferrario	nationality	italy
fritz_todt	place_of_death	ketrzyn
adam_opel	gender	male
karel_presl	place_of_death	prague
simion_barnutiu	profession	philosopher
elisha_f_paxton	institution	yale_university
elmer_l_andersen	place_of_death	minneapolis
milton_friedman	location	united_states
julian_trujillo_largacha	religion	roman_catholic_church
john_francis_dodge	profession	entrepreneur
philip_v_of_france	parents	philip_iv_of_france
edward_mills_purcell	nationality	united_states
salimbene_di_adam	place_of_birth	parma
gheorghe_mironescu	gender	male
jerzy_grotowski	location	rzeszow
eugene_viollet-le-duc	profession	architect
johann_gottlob_carpzov	gender	male
felix_bracquemond	place_of_death	sevres
james_merrill	place_of_death	arizona
phan_boi_chau	religion	confucianism
anna_maria_lenngren	gender	female
heinrich_gustav_reichenbach	place_of_birth	leipzig
francesco_di_marco_datini	nationality	italy
vladimir_zworykin	profession	engineer
john_palmer_usher	profession	politician
robert_doqui	institution	langston_university
william_walsh_1828	nationality	united_states
parvin_etesami	nationality	iran
maud_of_savoy	spouse	afonso_i_of_portugal
sean_macbride	gender	male
maria_ratisbonne	religion	catholicism
jonathan_harris	ethnicity	jew
edward_coles	place_of_birth	albemarle_county
li_tang	nationality	china
george_meeker	cause_of_death	alzheimers_disease
claiborne_pell	institution	bachelor_of_arts
gennady_strekalov	place_of_death	moscow
william_palmer	cause_of_death	capital_punishment
grace_dyer_taylor	place_of_death	hangzhou
charles_h_bell	nationality	united_states
arthur_waley	place_of_death	london
bohumil_hrabal	nationality	czech_republic
ethelwulf_of_wessex	children	alfred_the_great
johanna_von_trapp	parents	georg_ritter_von_trapp
jon_sveinsson	nationality	iceland
arman	nationality	france
george_orwell	profession	novelist
carolus-duran	place_of_birth	lille
eric_munoz	institution	columbia_university
ivan_horbachevsky	institution	university_of_vienna
helder_camara	religion	roman_catholic_church
etienne_de_bore	gender	male
william_brade	gender	male
abraham_bosse	location	tours
joseph_prestwich	gender	male
ruth_hanna_mccormick	place_of_death	chicago
leopold_ii_of_belgium	children	princess_stephanie_of_belgium
george_w_george	profession	film_director
e_chambre_hardman	profession	photographer
pieter_corneliszoon_hooft	profession	playwright
lucy_doraine	place_of_birth	budapest
nancy_kelly	place_of_birth	lowell
charles_burchill_lynch	place_of_death	ottawa
maria_teresa_deste	children	louise_marie_adelaide_de_bourbon_penthievre
grand_duke_constantine_pavlovich_of_russia	place_of_death	vitebsk
buster_larsen	nationality	denmark
powers_hapgood	nationality	united_states
heinz_pagels	profession	physicist
beatrice_lillie	nationality	canada
ferdinand_of_denmark	place_of_birth	christiansborg_palace
richard_oconnor_1851	place_of_birth	glebe_new_south_wales
isabel_de_clare_4th_countess_of_pembroke	spouse	william_marshal_1st_earl_of_pembroke
edward_william_derrington_bell	nationality	united_kingdom
yaroslav_golovanov	profession	writer
tommy_vance	profession	sailor
robert_raikes	place_of_birth	gloucester
jeanie_macpherson	profession	actor
bass_reeves	ethnicity	african_american
albert_anis	gender	male
pee_wee_crayton	gender	male
johann_salomo_christoph_schweigger	nationality	germany
gobind_singh	nationality	united_kingdom
grenville_m_dodge	place_of_death	council_bluffs
gamini_dissanayake	religion	buddhism
franz_volkmar_reinhard	nationality	germany
ammon_hennacy	religion	roman_catholic_church
bernard_vann	place_of_birth	rushden
lesslie_newbigin	gender	male
john_edensor_littlewood	location	rochester_united_kingdom
harry_rapf	location	new_york
josef_bo_ek	place_of_death	prague
carlo_mense	nationality	germany
john_burton_cleland	institution	university_of_sydney
joseph_hart	religion	congregational_church
frank_mancuso	profession	politician
mahasi_sayadaw	gender	male
jaroslav_seifert	profession	poet
thomas_w_palmer	religion	unitarianism
miklos_izso	place_of_death	budapest
frederick_townsend_martin	gender	male
david_brierly	place_of_birth	yorkshire
lorand_eotvos	profession	physicist
pedro_tafur	profession	writer
james_a_gallivan	place_of_birth	boston_massachusetts
edward_smith_stanley_14th_earl_of_derby	place_of_birth	knowsley_hall
george_luther_stearns	profession	merchant
maria_aurelia_bisutti	nationality	argentina
melanie_thornton	place_of_death	zurich
robert_aldrich	profession	screenwriter
w_t_tutte	nationality	canada
george_evans_1797	location	maine
premendra_mitra	location	varanasi
pierre_falardeau	place_of_birth	montreal
tony_cliff	nationality	united_kingdom
morgan_lewis_smith	place_of_death	jersey_city
andrew_preston_peabody	institution	harvard_university
larry_sherry	gender	male
johannes_martinus_burgers	gender	male
eddie_bo	location	louisiana
elizabeth_selden_rogers	nationality	united_states
humphrey_lyttelton	profession	composer
roy_acuff	profession	singer
romare_bearden	place_of_death	new_york
kenau_simonsdochter_hasselaer	nationality	netherlands
george_h_love	institution	princeton_university
edwin_w_rawlings	gender	male
william_i_german_emperor	profession	emperor
conrad_wiene	location	vienna
william_banting	profession	funeral_director
john_edward_brownlee	location	norfolk_county_ontario
niccolo_fontana_tartaglia	place_of_death	venice
ignacio_zuloaga	gender	male
krissy_taylor	profession	fashion_model
conor_cruise_obrien	nationality	republic_of_ireland
krystyna_skarbek	gender	female
kress_von_kressenstein	nationality	germany
david_rose	place_of_birth	london
hatazo_adachi	place_of_birth	ishikawa_prefecture
irving_kaplansky	nationality	canada
pope_boniface_vi	gender	male
egushawa	location	michigan
wladek_kowalski	gender	male
walter_passmore	profession	singer
geoffrey_toye	nationality	england
bartolome_calvo	profession	politician
joseph_weldon_bailey	gender	male
vyacheslav_von_plehve	place_of_death	saint_petersburg
roy_o_disney	cause_of_death	stroke
john_t_harris	nationality	united_states
neal_ball	nationality	united_states
boris_leven	place_of_birth	moscow
adolf_von_harnack	location	tartu
leon_charles_thevenin	gender	male
antoine_crozat	location	toulouse
giani_sant_singh_maskeen	nationality	india
manuel_murguia	gender	male
antoine_cesar_becquerel	place_of_death	paris
orval_faubus	religion	southern_baptist_convention
granville_redmond	place_of_death	los_angeles
charles_calvin_rogers	place_of_birth	west_virginia
fabrizio_de_andre	cause_of_death	breast_cancer
lana_clarkson	cause_of_death	gunshot
antonello_trombadori	gender	male
baroness_mary_vetsera	place_of_birth	vienna
hortense_ellis	ethnicity	black_people
harry_l_martin	gender	male
louis_ix_duke_of_bavaria	gender	male
benning_w_jenness	place_of_death	cleveland_ohio
wayne_e_meyer	nationality	united_states
canute_the_great	children	harold_harefoot
anna_nicole_smith	profession	pin-up_girl
andrew_gilbert_wauchope	nationality	scotland
fess_parker	cause_of_death	death_by_natural_causes
roger_elliott	nationality	united_kingdom
